Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,City,State,Country,Market,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit,Shipping Cost,Order Priority
21316,ID-2013-63976,2013-08-22,2013-08-26,Standard Class,JB-16000,Joy Bell-,Consumer,Mataram,Nusa Tenggara Barat,Indonesia,APAC,Southeast Asia,TEC-PH-10000499,Technology,Phones,"Motorola Smart Phone, Full Size",3200.5962,6,0.17,-77.20379999999989,660.87,High
21209,IN-2014-30110,2014-08-26,2014-08-27,First Class,LA-16780,Laura Armstrong,Corporate,Palembang,Sumatera Selatan,Indonesia,APAC,Southeast Asia,FUR-TA-10000687,Furniture,Tables,"Bevis Conference Table, with Bottom Storage",3427.1495999999997,7,0.47000000000000003,-452.81039999999985,586.57,High
23013,ID-2012-78207,2012-09-18,2012-09-21,Second Class,AM-10705,Anne McFarland,Consumer,Bandung,Jawa Barat,Indonesia,APAC,Southeast Asia,OFF-AP-10001621,Office Supplies,Appliances,"Hamilton Beach Refrigerator, Black",2487.8088,6,0.17,-269.7912,562.14,Critical
24424,IN-2014-39077,2014-07-19,2014-07-23,Standard Class,JK-16120,Julie Kriz,Home Office,Palembang,Sumatera Selatan,Indonesia,APAC,Southeast Asia,FUR-BO-10001212,Furniture,Bookcases,"Safco Classic Bookcase, Mobile",3278.5847999999996,8,0.07,140.82479999999995,492.28,High
23815,IN-2012-57025,2012-01-11,2012-01-15,Standard Class,PM-18940,Paul MacIntyre,Consumer,Tasikmalaya,Jawa Barat,Indonesia,APAC,Southeast Asia,FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine",3637.6019999999994,10,0.07,156.40199999999993,487.86,High
23175,IN-2012-30943,2012-08-03,2012-08-08,Standard Class,KH-16330,Katharine Harms,Corporate,Yogyakarta,Yogyakarta,Indonesia,APAC,Southeast Asia,OFF-AP-10002312,Office Supplies,Appliances,"KitchenAid Refrigerator, Black",3501.7367999999997,8,0.17,210.85680000000002,479.96,High
24015,ID-2014-10076,2014-07-09,2014-07-13,Standard Class,HG-15025,Hunter Glantz,Consumer,Medan,Sumatera Utara,Indonesia,APAC,Southeast Asia,FUR-BO-10004679,Furniture,Bookcases,"Safco Library with Doors, Pine",2910.0815999999995,8,0.07,125.12159999999994,456.32,High
20601,ID-2013-70122,2013-06-11,2013-06-15,Standard Class,AD-10180,Alan Dominguez,Home Office,Jakarta,Jakarta,Indonesia,APAC,Southeast Asia,FUR-CH-10002061,Furniture,Chairs,"Harbour Creations Executive Leather Armchair, Red",3126.400199999999,9,0.27,-128.71979999999962,455.71,High
23229,ID-2012-36403,2012-10-10,2012-10-11,First Class,SW-20245,Scot Wooten,Consumer,Surakarta,Jawa Tengah,Indonesia,APAC,Southeast Asia,TEC-PH-10001699,Technology,Phones,"Samsung Smart Phone, Full Size",2645.376,5,0.17,-0.024000000000114596,451.03,High
29651,ID-2013-31720,2013-05-01,2013-05-04,Second Class,JS-16030,Joy Smith,Consumer,Medan,Sumatera Utara,Indonesia,APAC,Southeast Asia,FUR-TA-10003179,Furniture,Tables,"Lesro Wood Table, Fully Assembled",1242.585,5,0.47000000000000003,-140.71500000000015,437.85,Critical
21670,IN-2014-56808,2014-07-12,2014-07-14,Second Class,AG-10330,Alex Grayson,Consumer,Jambi,Jambi,Indonesia,APAC,Southeast Asia,OFF-AP-10001956,Office Supplies,Appliances,"Breville Refrigerator, Black",1722.2831999999999,4,0.17,539.4431999999999,430.04,Critical
28110,IN-2011-67651,2011-05-21,2011-05-25,Second Class,EP-13915,Emily Phan,Consumer,Jakarta,Jakarta,Indonesia,APAC,Southeast Asia,FUR-BO-10002444,Furniture,Bookcases,"Sauder Library with Doors, Mobile",2539.8764999999994,7,0.07,709.9364999999999,393.58,High
25761,ID-2014-41191,2014-11-07,2014-11-09,First Class,DK-12895,Dana Kaydos,Consumer,Surabaya,Jawa Timur,Indonesia,APAC,Southeast Asia,OFF-AP-10002793,Office Supplies,Appliances,"KitchenAid Stove, Black",3309.2598,7,0.17,318.85979999999995,374.8,High
29383,IN-2014-17972,2014-03-26,2014-03-29,First Class,AP-10915,Arthur Prichep,Consumer,Jakarta,Jakarta,Indonesia,APAC,Southeast Asia,OFF-AP-10003917,Office Supplies,Appliances,"KitchenAid Stove, Silver",1421.5410000000002,3,0.17,428.12099999999987,367.57,Critical
24211,IN-2014-16054,2014-10-11,2014-10-13,Second Class,PS-18760,Pamela Stobb,Consumer,Bandung,Jawa Barat,Indonesia,APAC,Southeast Asia,FUR-BO-10001541,Furniture,Bookcases,"Bush Stackable Bookrack, Traditional",1029.2588999999998,9,0.07,10.818900000000014,354.47,Critical
25179,ID-2013-57949,2013-06-13,2013-06-13,Same Day,AM-10705,Anne McFarland,Consumer,Medan,Sumatera Utara,Indonesia,APAC,Southeast Asia,TEC-CO-10001419,Technology,Copiers,"Hewlett Copy Machine, Color",1479.3137999999997,6,0.07,-63.646199999999986,350.31,High
25941,IN-2014-27947,2014-04-30,2014-05-04,Standard Class,BS-11800,Bryan Spruell,Home Office,Kendari,Sulawesi Tenggara,Indonesia,APAC,Southeast Asia,OFF-AP-10000136,Office Supplies,Appliances,"Hamilton Beach Refrigerator, White",4135.641,10,0.17,847.0409999999999,348.08,Medium
29552,IN-2014-44257,2014-04-16,2014-04-18,Second Class,SV-20785,Stewart Visinsky,Consumer,Medan,Sumatera Utara,Indonesia,APAC,Southeast Asia,OFF-ST-10003150,Office Supplies,Storage,"Smead Lockers, Wire Frame",1803.0837,11,0.17,-130.38630000000003,332.13,High
21391,ID-2014-27163,2014-10-27,2014-10-31,Second Class,DV-13045,Darrin Van Huff,Corporate,Manado,Sulawesi Utara,Indonesia,APAC,Southeast Asia,FUR-BO-10003046,Furniture,Bookcases,"Safco Library with Doors, Mobile",2189.0897999999997,6,0.07,541.3697999999999,320.28,High
21339,ID-2013-60896,2013-08-05,2013-08-07,First Class,JE-16165,Justin Ellison,Corporate,Jakarta,Jakarta,Indonesia,APAC,Southeast Asia,FUR-BO-10000980,Furniture,Bookcases,"Bush Library with Doors, Traditional",677.6351999999999,2,0.07,211.2552,307.25,Critical
29626,ID-2012-39903,2012-01-02,2012-01-06,Standard Class,JS-15595,Jill Stevenson,Corporate,Medan,Sumatera Utara,Indonesia,APAC,Southeast Asia,OFF-AP-10004964,Office Supplies,Appliances,"Hoover Stove, White",2821.7178,6,0.17,339.8778,301.26,High
23255,ID-2012-48639,2012-10-30,2012-11-03,Standard Class,BS-11380,Bill Stewart,Corporate,Bandung,Jawa Barat,Indonesia,APAC,Southeast Asia,TEC-CO-10001895,Technology,Copiers,"Sharp Wireless Fax, Color",2991.1031999999996,9,0.07,-128.7468,300.6,Medium
20872,IN-2013-34170,2013-12-18,2013-12-25,Standard Class,FH-14275,Frank Hawley,Corporate,Palu,Sulawesi Tengah,Indonesia,APAC,Southeast Asia,FUR-BO-10002990,Furniture,Bookcases,"Dania Library with Doors, Traditional",3707.352,11,0.07,1554.432,298.44,Medium
20959,IN-2014-79544,2014-07-11,2014-07-14,First Class,JH-16180,Justin Hirsh,Consumer,Depok,Yogyakarta,Indonesia,APAC,Southeast Asia,FUR-BO-10004842,Furniture,Bookcases,"Dania 3-Shelf Cabinet, Pine",796.8240000000001,6,0.07,231.264,270.56,High
